date,tavg,tmin,tmax,prcp,wspd,pres
2023-01-01 00:00:00,12.4,11.1,13.9,,21.2,1010.1
2023-01-02 00:00:00,11.6,8.9,13.9,,10.7,1015.7
2023-01-03 00:00:00,13.1,11.1,14.4,,19.8,1017.9
2023-01-04 00:00:00,15.3,13.9,19.4,0.9,11.6,1018.9
2023-01-05 00:00:00,13.1,9.4,14.4,,13.3,1019.7
2023-01-06 00:00:00,12.1,8.3,16.7,0.0,4.5,1021.8
2023-01-07 00:00:00,12.5,6.7,20.0,0.0,5.6,1020.4
2023-01-08 00:00:00,12.3,7.2,20.6,0.0,6.1,1021.0
2023-01-09 00:00:00,13.2,7.2,19.4,0.0,10.7,1020.7
2023-01-10 00:00:00,13.9,10.6,16.1,,15.7,1019.6
2023-01-11 00:00:00,11.5,7.8,17.2,0.0,6.1,1022.5
2023-01-12 00:00:00,15.1,8.3,23.3,0.0,9.7,1021.1
2023-01-13 00:00:00,12.9,7.2,20.6,0.0,6.8,1020.0
2023-01-14 00:00:00,12.3,8.9,15.0,,14.5,1015.0
2023-01-15 00:00:00,13.1,11.7,14.4,,10.2,1011.7
2023-01-16 00:00:00,12.5,10.0,15.0,,18.4,1010.0
2023-01-17 00:00:00,10.4,8.3,12.8,,14.3,1013.8
2023-01-18 00:00:00,9.5,4.4,16.1,0.0,7.2,1020.0
2023-01-19 00:00:00,9.1,2.8,13.9,,10.2,1020.2
2023-01-20 00:00:00,10.7,7.2,16.1,0.0,7.6,1021.7
2023-01-21 00:00:00,9.7,2.8,17.2,,6.7,1024.2
2023-01-22 00:00:00,9.1,3.9,14.4,0.0,11.2,1016.0
2023-01-23 00:00:00,8.6,1.7,15.0,0.0,8.0,1016.0
2023-01-24 00:00:00,10.1,3.3,18.3,0.0,8.5,1024.4
2023-01-25 00:00:00,12.1,5.6,21.0,0.0,8.1,1024.1
2023-01-26 00:00:00,13.9,7.2,19.4,0.0,13.7,1025.0
2023-01-27 00:00:00,11.0,2.8,20.0,0.0,8.7,1019.8
2023-01-28 00:00:00,10.0,3.3,15.6,0.0,10.8,1015.5
2023-01-29 00:00:00,10.9,8.9,13.3,,12.7,1014.2
2023-01-30 00:00:00,10.5,8.9,13.9,,10.1,1013.2
2023-01-31 00:00:00,10.2,6.7,14.4,,6.2,1017.1
2023-02-01 00:00:00,9.7,2.8,18.3,0.0,7.2,1020.5
2023-02-02 00:00:00,11.2,3.9,20.6,0.0,8.5,1024.8
2023-02-03 00:00:00,12.5,7.2,20.6,0.0,6.2,1022.2
2023-02-04 00:00:00,11.5,3.3,19.4,0.0,8.3,1020.8
2023-02-05 00:00:00,10.9,5.6,16.7,0.0,7.6,1022.4
2023-02-06 00:00:00,12.1,7.2,16.7,,7.9,1021.5
2023-02-07 00:00:00,11.2,3.9,20.6,0.0,7.4,1023.3
2023-02-08 00:00:00,12.6,2.8,22.2,0.0,6.0,1022.7
2023-02-09 00:00:00,14.7,5.0,25.6,0.0,9.7,1021.5
2023-02-10 00:00:00,17.0,11.7,23.9,0.0,14.6,1018.3
2023-02-11 00:00:00,11.1,6.1,14.4,0.0,9.3,1014.2
2023-02-12 00:00:00,8.9,3.9,13.3,,9.5,1012.4
2023-02-13 00:00:00,11.0,8.3,14.4,,9.5,1014.0
2023-02-14 00:00:00,10.7,9.4,11.7,,16.3,1013.8
2023-02-15 00:00:00,9.2,3.3,14.4,0.0,5.6,1018.8
2023-02-16 00:00:00,9.3,1.1,17.8,0.0,14.5,1022.6
2023-02-17 00:00:00,12.0,8.3,18.3,0.0,10.8,1016.2
2023-02-18 00:00:00,11.7,5.0,18.3,0.0,4.9,1015.8
